2016-10-30T06:31:05.432Z Express server listening on port 8080
2016-10-30T06:31:05.441Z Traffic Brain strated
2016-10-30T06:31:05.442Z Set northSouth to green
2016-10-30T06:31:05.445Z Set eastWest to red
2016-10-30T06:35:35.444Z Set northSouth to yellow
2016-10-30T06:36:05.444Z Set eastWest to green
2016-10-30T06:36:05.444Z Set northSouth to red
2016-10-30T06:40:35.444Z Set eastWest to yellow
2016-10-30T06:41:05.449Z Set northSouth to green
2016-10-30T06:41:05.449Z Set eastWest to red
2016-10-30T06:45:35.452Z Set northSouth to yellow
2016-10-30T06:46:05.447Z Set eastWest to green
2016-10-30T06:46:05.447Z Set northSouth to red
2016-10-30T06:50:35.453Z Set eastWest to yellow
2016-10-30T06:51:05.450Z Set northSouth to green
2016-10-30T06:51:05.450Z Set eastWest to red
2016-10-30T06:55:35.451Z Set northSouth to yellow
2016-10-30T06:56:05.447Z Set eastWest to green
2016-10-30T06:56:05.448Z Set northSouth to red
2016-10-30T07:00:35.446Z Set eastWest to yellow
2016-10-30T07:01:05.452Z Set northSouth to green
2016-10-30T07:01:05.453Z Set eastWest to red
